YouTube URL,face_upscale,background_upscale,background_upscale_value,unet,clahe,crop_video,start_time (00:00:00),end_time (01:22:33)
https://youtu.be/acps76ivXJw?si=qAKtk9cJqjUJ8KRq,false,false,2,true,false,false,,
https://youtu.be/FAyKDaXEAgc?si=vrQf8zo4xohlpTKl,false,false,2,true,false,false,,
https://youtu.be/JxIN5fruFFo?si=pQDwCrGDchgVAs3_,false,false,2,true,false,false,,
